id,class,long,lat,NDVI,NDWI,ONIR,ODVI,NDCI,PSRI,BNDVI,HubDist
"215013","1",119.876095,4.902247,0.006208,0.063330,455.508891,0.004281,0.024623,-0.210341,-0.091266,4285.872176608097107
"215014","1",119.876546,4.902245,0.008415,0.071536,454.508891,0.006488,0.030612,-0.230966,-0.097975,4333.197893169909548
"215444","1",119.873391,4.901807,0.010508,0.012444,319.508891,0.008581,0.026988,-0.097596,-0.037787,3986.313129486287380
"215445","1",119.873841,4.901805,0.011608,0.017039,343.508891,0.009681,0.026514,-0.119221,-0.046111,4033.441270666835862
"215446","1",119.874292,4.901803,0.009170,0.026536,371.508891,0.007243,0.023687,-0.133463,-0.055001,4080.636700746386850
"215447","1",119.874742,4.901801,0.013530,0.026925,398.508891,0.011603,0.025990,-0.139173,-0.053091,4127.897111008512184
"215448","1",119.875193,4.901799,0.007242,0.044814,468.508891,0.005315,0.024602,-0.176243,-0.075589,4175.220294159917103
"215449","1",119.875643,4.901797,0.010828,0.049947,468.508891,0.008901,0.028599,-0.197066,-0.081326,4222.604138985919235
"215450","1",119.876093,4.901795,0.004413,0.062493,481.508891,0.002486,0.025907,-0.204748,-0.090535,4270.046625348913949
"215451","1",119.876544,4.901793,0.004474,0.071926,493.508891,0.002547,0.023081,-0.222334,-0.097922,4317.545819443728760
"215882","1",119.873839,4.901353,0.013274,0.013167,340.508891,0.011347,0.025492,-0.107334,-0.038937,4017.242545318814336
"215883","1",119.874290,4.901351,0.007103,0.024205,382.508891,0.005176,0.021482,-0.109126,-0.045718,4064.626073663608167
"215884","1",119.874740,4.901349,0.010668,0.029554,410.508891,0.008741,0.026544,-0.138132,-0.055142,4112.070505899863747
"215885","1",119.875191,4.901348,0.008619,0.040525,445.508891,0.006692,0.025889,-0.183180,-0.077477,4159.573757298428973
"215886","1",119.875641,4.901346,0.010159,0.051019,454.508891,0.008232,0.029035,-0.194052,-0.081537,4207.133834749607558
"215887","1",119.876091,4.901344,0.002966,0.058469,505.508891,0.001039,0.023954,-0.187043,-0.083973,4254.748831928352047
"215888","1",119.876542,4.901342,0.004962,0.068522,489.508891,0.003035,0.029295,-0.224510,-0.097681,4302.416924750591534
"216319","1",119.873838,4.900902,0.013190,0.015662,364.508891,0.011263,0.026741,-0.105542,-0.038256,4001.601983381073751
