id,class,long,lat,NDVI,NDWI,NDCI,NDMI,PSRI,BNDVI,ONIR,ODVI,HubDist
"87940","4",119.964699,5.088177,0.086015,-0.102901,0.054496,0.019314,0.067210,0.127307,4821.508891,0.084088,846.250619404319
"89249","4",119.962356,5.088007,0.065214,-0.066010,0.043883,0.086454,-0.007003,0.061255,5362.508891,0.063287,805.396216966268
"89250","4",119.962536,5.088006,0.053263,-0.054751,0.038682,0.092732,0.003272,0.055049,5689.508891,0.051336,807.155862960828
"89251","4",119.962716,5.088005,0.043234,-0.050141,0.035302,0.088115,0.015707,0.051883,5837.508891,0.041307,809.405097460234
"89252","4",119.962896,5.088004,0.038340,-0.048123,0.037888,0.077405,0.025657,0.052474,5956.508891,0.036413,812.139852464891
"89253","4",119.963076,5.088004,0.044141,-0.052161,0.037571,0.071774,0.022833,0.056819,6101.508891,0.042214,815.355242347707
"89254","4",119.963257,5.088003,0.059064,-0.064742,0.039586,0.073197,0.021295,0.070910,6266.508891,0.057137,819.045606294788
"89255","4",119.963437,5.088002,0.071541,-0.081556,0.042986,0.062721,0.031831,0.089856,6035.508891,0.069614,823.204556276472
"89256","4",119.963617,5.088001,0.066916,-0.074097,0.034449,0.069920,0.039674,0.089271,6204.508891,0.064989,827.825029630931
"89257","4",119.963797,5.088000,0.059284,-0.069867,0.041142,0.061469,0.047903,0.086477,6202.508891,0.057357,832.899345316945
"89258","4",119.963977,5.087999,0.067683,-0.082695,0.047212,0.048325,0.059334,0.102339,6001.508891,0.065756,838.41926285226
"89259","4",119.964158,5.087999,0.078365,-0.093786,0.050155,0.037813,0.059146,0.113591,5758.508891,0.076438,844.376042987767
"89260","4",119.964338,5.087998,0.085954,-0.098135,0.045713,0.037843,0.051417,0.116465,5615.508891,0.084027,850.760509185448
"89261","4",119.964518,5.087997,0.095476,-0.105479,0.050364,0.038681,0.047321,0.123970,5246.508891,0.093549,857.563109038811
"90572","4",119.962535,5.087825,0.045995,-0.049783,0.038717,0.090842,0.006022,0.049262,5615.508891,0.044068,827.03873585544
"90573","4",119.962715,5.087824,0.041696,-0.047694,0.040136,0.082311,0.011565,0.048066,5594.508891,0.039769,829.234038137717
"90574","4",119.962895,5.087824,0.040684,-0.045442,0.038629,0.079079,0.010564,0.046457,5770.508891,0.038757,831.903607932181
"90575","4",119.963076,5.087823,0.038361,-0.042141,0.037132,0.073855,0.006564,0.041931,5952.508891,0.036434,835.042896425239
"90576","4",119.963256,5.087822,0.043415,-0.048805,0.034446,0.071511,0.016412,0.052359,6143.508891,0.041488,838.646628536244
"90577","4",119.963436,5.087821,0.065793,-0.069443,0.037750,0.064123,0.013216,0.073191,6032.508891,0.063866,842.708845661048
"90578","4",119.963616,5.087820,0.070488,-0.087247,0.047181,0.039567,0.061748,0.107103,5620.508891,0.068561,847.222952641118
"90579","4",119.963796,5.087819,0.068638,-0.085794,0.048148,0.035321,0.065672,0.107489,5596.508891,0.066711,852.181768136438
"90580","4",119.963977,5.087819,0.078257,-0.087055,0.046494,0.042112,0.044185,0.104270,5685.508891,0.076330,857.577577571884
"90581","4",119.964157,5.087818,0.084533,-0.091139,0.047180,0.039632,0.038901,0.107342,5569.508891,0.082606,863.402187812704
"90582","4",119.964337,5.087817,0.092398,-0.102362,0.046506,0.033928,0.043598,0.118494,5294.508891,0.090471,869.646982777164
"91894","4",119.962534,5.087645,0.038316,-0.044277,0.035494,0.084271,0.015060,0.046530,5500.508891,0.036389,846.926241787546
"91895","4",119.962714,5.087644,0.038930,-0.042342,0.034808,0.081654,0.013661,0.046377,5523.508891,0.037003,849.070122555911
"91896","4",119.962895,5.087643,0.035227,-0.039133,0.035428,0.078083,0.006006,0.038480,5659.508891,0.033300,851.677515548024
"91897","4",119.963075,5.087642,0.032332,-0.037655,0.035652,0.076436,0.012665,0.039136,5871.508891,0.030405,854.744178721005
"91898","4",119.963255,5.087641,0.031948,-0.039156,0.033817,0.067255,0.022020,0.043924,5960.508891,0.030021,858.265188814013
"91899","4",119.963435,5.087640,0.050790,-0.060027,0.033417,0.065884,0.032440,0.068763,5941.508891,0.048863,862.234979525446
"91900","4",119.963615,5.087640,0.083462,-0.092241,0.050060,0.040831,0.035115,0.104372,5234.508891,0.081535,866.647383559647
"91901","4",119.963796,5.087639,0.091884,-0.103992,0.050942,0.029254,0.048663,0.121402,4944.508891,0.089957,871.495677831967
"91902","4",119.963976,5.087638,0.084869,-0.098159,0.046638,0.030891,0.062454,0.122606,5082.508891,0.082942,876.772631117356
"91903","4",119.964156,5.087637,0.084348,-0.095327,0.041098,0.038010,0.049078,0.113363,5256.508891,0.082421,882.470553405907
"93217","4",119.962714,5.087463,0.041429,-0.050037,0.037766,0.077634,0.029420,0.057765,5338.508891,0.039502,868.912861470068
"93218","4",119.962894,5.087462,0.035968,-0.043086,0.036653,0.072169,0.023126,0.048640,5511.508891,0.034041,871.460884239395
"93219","4",119.963074,5.087461,0.037219,-0.044208,0.037088,0.076934,0.018362,0.047159,5818.508891,0.035292,874.458168116183
"93220","4",119.963254,5.087461,0.041655,-0.047161,0.037699,0.073791,0.014778,0.049722,5951.508891,0.039728,877.900111353982
"93221","4",119.963434,5.087460,0.051113,-0.059646,0.041381,0.063549,0.027056,0.066193,5730.508891,0.049186,881.781506701329
"93222","4",119.963615,5.087459,0.078198,-0.079972,0.049048,0.054532,0.005070,0.081073,5118.508891,0.076271,886.096579121709
"93223","4",119.963795,5.087458,0.100932,-0.088598,0.037012,0.070062,-0.036369,0.080612,5074.508891,0.099005,890.83902644532
"93224","4",119.963975,5.087457,0.114337,-0.113285,0.069830,0.039590,0.008896,0.119724,4710.508891,0.112410,896.002062325063
