id,class,long,lat,NDVI,NDWI,NDCI,PSRI,BNDVI,ONIR,ODVI,HubName,HubDist
"1419684","5",120.065793,5.051207,0.187034,-0.197123,0.134053,0.134405,0.288303,6293.334259,0.199254,"511558",1267.37200820541
"1419685","5",120.065883,5.051206,0.195924,-0.209040,0.138581,0.131700,0.296739,6245.334259,0.208144,"511558",1261.33359710519
"1419686","5",120.065974,5.051206,0.216433,-0.228331,0.158989,0.121398,0.311960,6253.334259,0.228653,"511558",1255.34563711616
"1419687","5",120.066064,5.051205,0.217712,-0.227181,0.149526,0.122827,0.314265,6229.334259,0.229932,"511558",1249.40885360004
"1419688","5",120.066154,5.051205,0.221281,-0.225017,0.156697,0.111890,0.309831,6177.334259,0.233501,"511558",1243.52397951325
"1419689","5",120.066244,5.051205,0.232455,-0.233722,0.159434,0.106862,0.318198,6169.334259,0.244675,"511558",1237.69175527849
"1419690","5",120.066334,5.051204,0.237702,-0.235577,0.165113,0.102081,0.320125,6165.334259,0.249922,"511558",1231.91292865231
"1419691","5",120.066424,5.051204,0.235314,-0.236164,0.163394,0.111847,0.325714,6161.334259,0.247534,"511558",1226.18825457747
"1419692","5",120.066514,5.051203,0.240368,-0.236994,0.162957,0.108748,0.327737,6245.334259,0.252588,"511558",1220.51849501974
"1419693","5",120.066604,5.051203,0.235415,-0.234991,0.162091,0.100592,0.316030,6169.334259,0.247635,"511558",1214.90441879032
"1419694","5",120.066694,5.051202,0.237346,-0.239041,0.161654,0.104536,0.321161,6205.334259,0.249566,"511558",1209.34680135254
"1419695","5",120.066784,5.051202,0.229665,-0.225060,0.157383,0.112002,0.319399,6165.334259,0.241885,"511558",1203.84642462109
"1419696","5",120.066874,5.051202,0.231450,-0.228523,0.156518,0.108344,0.317793,6205.334259,0.243670,"511558",1198.40407673696
"1419697","5",120.066965,5.051201,0.226371,-0.228023,0.151448,0.103197,0.307279,6261.334259,0.238591,"511558",1193.02055183258
"1422250","5",120.058766,5.051150,0.216447,-0.211981,0.134996,0.113300,0.304493,5241.334259,0.228667,"516441",1171.74801836011
